,Name,CMP,P/E,Mar Cap,Div Yld,NP Qtr,Qtr Profit Var,Sales Qtr,Qtr Sales Var,ROCE,PAT Ann,ROE,ROA
682,Nahar Spinning,478.25,5.39,1727.5,0.31,136.58,912.98,842.68,55.88,6.55,40.36,4.7,1.97
683,Renaiss. Global,910.4,18.76,1722.85,0.49,27.93,42.72,477.1,-8.75,6.22,42.49,5.51,2.63
684,Unichem Labs.,243.6,,1716.86,1.64,-12.82,-246.68,290.66,-8.46,1.68,26.8,1.05,0.86
685,NELCO,747.4,106.44,1711.54,0.16,3.4,53.15,61.22,15.03,14.27,12.18,17.19,4.63
686,Huhtamaki India,225.5,63.79,1704.55,2.66,-21.84,-75.68,668.73,-2.5,13.96,93.8,12.83,6.06
687,PTC Industries,3252.6,175.31,1704.06,0.0,1.8,53.85,38.29,-14.28,7.71,3.11,2.03,0.83
688,Manorama Indust.,1426.05,123.71,1699.82,0.0,6.27,44.14,71.14,51.43,13.04,13.74,10.07,5.1
689,Datamatics Glob.,288.2,13.4,1696.84,0.87,35.3,128.92,299.23,4.77,14.7,79.15,11.29,8.7
690,3i Infotech,104.95,,1695.71,0.0,-23.09,-238.34,177.1,16.45,4.85,23.84,3.15,1.58
691,HBL Power System,61.0,39.43,1693.7,0.57,14.96,45.53,283.02,9.52,4.43,17.11,2.2,1.6
692,Everest Kanto,150.3,10.41,1688.69,0.2,70.94,246.22,421.26,71.25,15.96,90.04,15.43,6.14
693,GE Power,250.7,274.0,1687.83,0.4,39.33,16.97,732.12,-17.51,17.41,95.49,10.11,2.59
694,Jagran Prakashan,63.25,9.59,1676.99,0.0,61.83,378.93,402.53,39.23,5.12,88.87,4.54,2.33
695,West Coast Paper,252.45,9.48,1673.21,0.4,72.48,304.05,900.49,109.71,2.7,3.28,0.24,0.15
696,Shaily Engineer.,1820.0,46.11,1669.58,0.0,10.49,43.31,144.86,46.74,12.88,22.01,12.9,5.19
697,Vidhi Specialty,333.15,33.0,1662.17,0.24,14.48,92.55,127.62,159.76,28.91,36.72,25.28,17.81
698,K C P,128.5,7.08,1661.89,1.56,53.58,79.56,527.97,33.63,21.55,162.99,17.77,9.06
699,Zen Technologies,208.0,365.61,1656.23,0.05,0.85,10.39,16.25,53.01,3.27,4.1,2.01,1.88
700,D B Corp,93.5,9.02,1651.82,3.21,53.77,88.53,446.8,29.0,10.1,134.01,7.65,5.4
701,Time Technoplast,73.0,9.74,1650.88,0.96,50.29,105.6,914.55,22.97,8.77,103.43,5.56,3.17
702,Cigniti Tech.,586.55,17.56,1644.16,0.43,22.17,-12.09,307.9,39.2,36.36,105.35,32.94,20.82
703,Sirca Paints,596.7,48.15,1635.22,0.25,10.16,336.83,60.6,59.06,11.28,16.44,8.51,7.08
704,Igarashi Motors,518.05,48.95,1626.28,0.29,5.14,-56.48,158.99,5.75,7.27,25.62,5.94,3.73
705,NGL Fine Chem,2619.8,24.77,1619.04,0.07,14.19,-4.12,78.5,15.09,51.9,55.47,43.22,30.67
706,TVS Srichakra,2112.05,16.55,1617.26,1.42,25.31,-36.49,687.51,24.46,12.35,73.92,9.42,4.57
707,Fiem Industries,1220.05,18.92,1610.36,1.31,26.33,-1.94,419.22,12.01,12.26,48.88,8.93,5.31
708,NRB Bearings,166.8,16.58,1608.02,0.3,23.55,114.48,256.56,29.79,11.19,53.83,11.05,5.72
709,Sasken Technol.,1069.05,11.97,1607.59,1.4,37.29,60.18,108.65,1.28,28.34,112.99,21.73,17.5
710,Savita Oil Tech,1163.0,5.19,1604.66,1.29,56.09,49.1,690.05,43.35,30.84,216.97,22.13,13.71
711,Nava Bharat Vent,109.9,4.85,1601.85,2.27,31.1,-69.04,823.35,37.14,13.05,419.89,9.77,5.78
712,Gokaldas Exports,269.55,33.01,1589.19,0.0,28.61,229.99,443.77,29.81,8.22,24.97,9.67,2.61
713,Accelya Solution,1060.85,29.11,1583.03,4.9,14.23,594.15,85.27,43.55,21.75,42.15,17.44,11.73
714,Butterfly Gan Ap,883.0,29.27,1580.54,0.34,25.47,48.08,403.12,39.61,21.36,36.16,17.36,7.37
715,L G Balakrishnan,504.0,7.78,1580.39,1.98,77.91,132.97,576.74,38.3,19.64,133.46,16.83,9.86
716,Suryoday Small,148.85,,1578.89,0.0,-1.92,-107.05,234.49,16.41,6.46,11.87,0.89,0.2
717,Wheels India,652.9,22.73,1569.48,0.15,20.58,200.88,973.08,73.12,4.47,1.82,0.27,0.01
718,Expleo Solutions,1520.65,33.05,1569.31,0.0,11.07,-12.07,97.09,31.86,39.23,50.43,28.49,21.09
719,Dolat Investment,88.6,8.63,1554.0,0.23,33.75,38.38,56.57,72.52,60.45,146.71,50.3,39.32
720,Kewal Kir.Cloth.,1255.0,28.12,1547.78,0.37,27.02,194.98,175.08,159.45,5.84,19.94,4.54,3.27
721,Andhra Sugars,569.45,8.16,1543.51,1.76,56.41,71.51,470.67,20.68,14.12,138.66,11.31,7.87
722,JSW Ispat Speci.,32.75,10.3,1537.76,0.0,-36.88,-115.25,1437.36,50.46,4.34,210.57,16.41,-2.05
723,GNA Axles,714.9,14.17,1533.69,0.35,24.51,6.89,339.76,52.97,15.43,70.59,14.64,7.93
